category,code,description,is_active,icon,tags,created_on,created_by
HONORIFIC,MR,Mr,TRUE,account-tie,Personal,2025-01-04T17:47:19+03:00,admin@ins10.com
HONORIFIC,MRS,Mrs,TRUE,account-tie,Personal,2025-01-04T17:47:19+03:00,admin@ins10.com
HONORIFIC,MS,Ms,TRUE,account-tie,Personal,2025-01-04T17:47:19+03:00,admin@ins10.com
HONORIFIC,DR,Dr,TRUE,account-tie-medical,Personal,2025-01-04T17:47:19+03:00,admin@ins10.com
HONORIFIC,PROF,Prof,TRUE,account-tie-education,Personal,2025-01-04T17:47:19+03:00,admin@ins10.com
GENDER,M,Male,TRUE,gender-male,Personal,2025-01-04T17:47:19+03:00,admin@ins10.com
GENDER,F,Female,TRUE,gender-female,Personal,2025-01-04T17:47:19+03:00,admin@ins10.com
GENDER,O,Other,TRUE,gender-male-female,Personal,2025-01-04T17:47:19+03:00,admin@ins10.com
MARITAL,SGL,Single,TRUE,account,Personal,2025-01-04T17:47:19+03:00,admin@ins10.com
MARITAL,MRD,Married,TRUE,account-multiple,Personal,2025-01-04T17:47:19+03:00,admin@ins10.com
MARITAL,WDW,Widow,TRUE,account-alert,Personal,2025-01-04T17:47:19+03:00,admin@ins10.com
MARITAL,DIV,Divorced,TRUE,account-cancel,Personal,2025-01-04T17:47:19+03:00,admin@ins10.com
MARITAL,UNK,Unknown,TRUE,account-question,Personal,2025-01-04T17:47:19+03:00,admin@ins10.com
RELATION,FTH,Father,TRUE,human-male,Family,2025-01-04T17:47:19+03:00,admin@ins10.com
RELATION,MTH,Mother,TRUE,human-female,Family,2025-01-04T17:47:19+03:00,admin@ins10.com
RELATION,BRO,Brother,TRUE,human-male-child,Family,2025-01-04T17:47:19+03:00,admin@ins10.com
RELATION,SIS,Sister,TRUE,human-female-child,Family,2025-01-04T17:47:19+03:00,admin@ins10.com
RELATION,SPS,Spouse,TRUE,account-heart,Family,2025-01-04T17:47:19+03:00,admin@ins10.com
RELATION,SON,Son,TRUE,human-male-child,Family,2025-01-04T17:47:19+03:00,admin@ins10.com
RELATION,DAU,Daughter,TRUE,human-female-child,Family,2025-01-04T17:47:19+03:00,admin@ins10.com
RELATION,GRD,Guardian,TRUE,shield-account,Family,2025-01-04T17:47:19+03:00,admin@ins10.com
GRADE,AP,A+,TRUE,alpha-a-box-plus,Academic,2025-01-04T17:47:19+03:00,admin@ins10.com
GRADE,A,A,TRUE,alpha-a-box,Academic,2025-01-04T17:47:19+03:00,admin@ins10.com
GRADE,BP,B+,TRUE,alpha-b-box-plus,Academic,2025-01-04T17:47:19+03:00,admin@ins10.com
GRADE,B,B,TRUE,alpha-b-box,Academic,2025-01-04T17:47:19+03:00,admin@ins10.com
GRADE,C,C,TRUE,alpha-c-box,Academic,2025-01-04T17:47:19+03:00,admin@ins10.com
GRADE,D,D,TRUE,alpha-d-box,Academic,2025-01-04T17:47:19+03:00,admin@ins10.com
GRADE,F,F,TRUE,alpha-f-box,Academic,2025-01-04T17:47:19+03:00,admin@ins10.com
RESULT,P,Pass,TRUE,check-circle,Academic,2025-01-04T17:47:19+03:00,admin@ins10.com
RESULT,F,Fail,TRUE,close-circle,Academic,2025-01-04T17:47:19+03:00,admin@ins10.com
RESULT,W,Withdraw,TRUE,minus-circle,Academic,2025-01-04T17:47:19+03:00,admin@ins10.com
EDUCATION,PHD,Doctor of Philosophy,TRUE,school-plus,Academic,2025-01-04T17:47:19+03:00,admin@ins10.com
EDUCATION,MSC,Master of Science,TRUE,school,Academic,2025-01-04T17:47:19+03:00,admin@ins10.com
EDUCATION,BSC,Bachelor of Science,TRUE,school,Academic,2025-01-04T17:47:19+03:00,admin@ins10.com
EDUCATION,DIP,Diploma,TRUE,certificate,Academic,2025-01-04T17:47:19+03:00,admin@ins10.com
EDUCATION,CERT,Certificate,TRUE,certificate-outline,Academic,2025-01-04T17:47:19+03:00,admin@ins10.com
MAJOR,CS,Computer Science,TRUE,laptop,Academic,2025-01-04T17:47:19+03:00,admin@ins10.com
MAJOR,ENG,Engineering,TRUE,engine,Academic,2025-01-04T17:47:19+03:00,admin@ins10.com
MAJOR,BUS,Business Administration,TRUE,briefcase,Academic,2025-01-04T17:47:19+03:00,admin@ins10.com
MAJOR,MED,Medicine,TRUE,medical-bag,Academic,2025-01-04T17:47:19+03:00,admin@ins10.com
